,Country,Lat,Long,Population,GrowthRate,Area,Density,Airports,GDP
138,Qatar,25.3548,51.1839,2832.067,1.0173,11586.0,244.4387,3.0,345455.0
139,Romania,45.9432,24.9668,19364.557,0.9934,238391.0,81.2302,20.0,525051.0
140,Russia,60.0,90.0,145872.256,1.0004,17098242.0,8.5314,264.0,4176350.0
141,Rwanda,-1.9403,29.8739,12626.95,1.0258,26338.0,479.4195,3.0,32258.0
142,Saint Kitts and Nevis,17.357822,-62.782998,52.823,1.0071,261.0,202.387,2.0,1532.0
143,Saint Lucia,13.9094,-60.9789,182.79,1.0046,616.0,296.737,2.0,2702.0
144,Saint Vincent and the Grenadines,12.9843,-61.2872,110.589,1.0032,389.0,284.2905,5.0,1327.0
145,San Marino,43.9424,12.4578,,,,,,
146,Sao Tome and Principe,0.18636,6.613081,215.056,1.0191,964.0,223.0871,2.0,705.0
147,Saudi Arabia,24.0,45.0,34268.528,1.0159,2149690.0,15.9411,45.0,1869288.0
148,Senegal,14.4974,-14.4524,16296.364,1.0275,196722.0,82.8396,11.0,66438.0
149,Serbia,44.0165,21.0059,8772.235,0.996,88361.0,99.2772,6.0,127096.0
150,Seychelles,-4.6796,55.492,97.739,1.0062,452.0,216.2367,8.0,2746.0
151,Sierra Leone,8.460555000000001,-11.779889,7813.215,1.021,71740.0,108.9102,7.0,12868.0
152,Singapore,1.2833,103.8333,5804.337,1.0079,710.0,8175.1225,6.0,576839.0
153,Slovakia,48.669,19.699,5457.013,1.0005,49037.0,111.2836,8.0,187264.0
154,Slovenia,46.1512,14.9955,2078.654,1.0001,20273.0,102.5331,5.0,73276.0
155,Somalia,5.1521,46.1996,15442.905,1.0292,637657.0,24.2182,9.0,12417.0
156,South Africa,-30.5595,22.9375,58558.27,1.0128,1221037.0,47.9578,99.0,762826.0
157,South Sudan,6.8770000000000024,31.307,11062.113,1.0119,619745.0,17.8495,3.0,23320.0
158,Spain,40.0,-4.0,46736.776,1.0004,505992.0,92.3666,64.0,1780996.0
159,Sri Lanka,7.0,81.0,21323.733,1.0042,65610.0,325.0074,12.0,304458.0
160,Sudan,12.8628,30.2176,42813.238,1.0242,1886068.0,22.6997,18.0,163606.0
161,Suriname,3.9193,-56.0278,581.372,1.009,163820.0,3.5488,23.0,8956.0
162,Sweden,63.0,16.0,10036.379,1.0063,450295.0,22.2885,77.0,529778.0
163,Switzerland,46.8182,8.2275,8591.365,1.0074,41284.0,208.104,43.0,535832.0
164,Syria,34.802075,38.99681500000001,,,,,,
165,Taiwan*,23.7,121.0,23773.876,1.0018,36193.0,656.8639,25.0,1293972.0
166,Tajikistan,38.861034000000004,71.276093,9321.018,1.0232,143100.0,65.1364,4.0,34692.0
167,Tanzania,-6.369,34.8888,58005.463,1.0298,945087.0,61.3758,29.0,198652.0
168,Thailand,15.0,101.0,69625.582,1.0025,513120.0,135.6906,50.0,1293924.0
169,Timor-Leste,-8.874217,125.727539,,,,,,
170,Togo,8.6195,0.8248,8082.366,1.0243,56785.0,142.3328,4.0,15217.0
171,Trinidad and Tobago,10.6918,-61.2225,1394.973,1.0032,5130.0,271.9246,2.0,43178.0
172,Tunisia,34.0,9.0,11694.719,1.0106,163610.0,71.4792,13.0,143234.0
173,Turkey,38.9637,35.2433,83429.615,1.0109,783562.0,106.4748,76.0,2257987.0
174,US,37.0902,-95.7129,329064.917,1.0059,9372610.0,35.1092,1512.0,20289987.0
175,Uganda,1.0,32.0,44269.594,1.0332,241550.0,183.273,12.0,123653.0
176,Ukraine,48.3794,31.1656,43993.638,0.9941,603500.0,72.8975,39.0,380545.0
177,United Arab Emirates,24.0,54.0,9770.529,1.0123,83600.0,116.8724,17.0,722670.0
178,United Kingdom,24.54817272727273,-43.90224545454546,67530.172,1.0053,242900.0,278.0164,167.0,2975557.0
179,Uruguay,-32.5228,-55.7658,3461.734,1.0035,181034.0,19.122,11.0,80817.0
180,Uzbekistan,41.3775,64.5853,32981.716,1.0148,447400.0,73.7186,13.0,310738.0
181,Venezuela,6.4238,-66.5897,,,,,,
182,Vietnam,16.0,108.0,96462.106,1.0091,331212.0,291.2398,25.0,1035051.0
183,West Bank and Gaza,31.9522,35.2332,,,,,,
184,Western Sahara,24.2155,-12.8858,,,,,,
185,Yemen,15.552726999999999,48.516388,29161.922,1.0228,527968.0,55.2343,11.0,70414.0
186,Zambia,-15.4167,28.2833,17861.03,1.0293,752612.0,23.7321,13.0,73662.0
187,Zimbabwe,-20.0,30.0,14645.468,1.0148,390757.0,37.4797,16.0,37039.0
