Country,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/01/20,2/02/20,2/03/20,2/04/20,2/05/20,2/06/20,2/07/20,2/08/20,2/09/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/01/20,3/02/20,3/03/20,3/04/20,3/05/20,3/06/20,3/07/20,3/08/20,3/09/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/01/20,4/02/20,4/03/20,4/04/20,4/05/20,4/06/20,4/07/20,4/08/20,4/09/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/01/20,5/02/20,5/03/20,5/04/20,5/05/20,5/06/20,5/07/20,5/08/20,5/09/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/01/20,6/02/20,6/03/20,6/04/20,6/05/20,6/06/20,6/07/20,6/08/20,6/09/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20
Aruba,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0']","['0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '1', '0']","['3', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '1', '0']","['3', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '1', '0']","['3', '0', '0', '0', '0', '0', '0', '3', '0', '0', '2', '1', '0']","['3', '0', '0', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['3', '0', '0', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['3', '2', '0', '0', '0', '1', '0', '3', '0', '0', '2', '1', '1']","['3', '2', '0', '0', '0', '1', '0', '3', '0', '0', '2', '1', '1']","['3', '2', '0', '0', '0', '1', '0', '3', '0', '0', '2', '1', '1']","['3', '2', '0', '0', '0', '1', '0', '3', '0', '0', '2', '1', '1']","['3', '2', '0', '0', '0', '1', '0', '3', '0', '0', '2', '1', '1']","['3', '2', '0', '0', '0', '1', '0', '3', '0', '0', '2', '1', '1']","['3', '2', '0', '0', '0', '1', '0', '3', '0', '0', '2', '1', '1']","['3', '2', '0', '0', '0', '1', '0', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '0', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '0', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '3', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '3', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '3', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '4', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '4', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '3', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '2', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '2', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '2', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '2', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '2', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '2', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '2', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '2', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '2', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '2', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '2', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '2', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '2', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['3', '2', '2', '4', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['0', '2', '0', '0', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['0', '2', '0', '0', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['0', '2', '0', '0', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['0', '2', '0', '0', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['0', '2', '0', '0', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['0', '2', '0', '0', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['0', '2', '0', '0', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['0', '2', '0', '0', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['0', '2', '0', '0', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['0', '2', '0', '0', '0', '2', '2', '3', '2', '2', '2', '1', '1']","['0', '2', '0', '0', '0', '1', '2', '3', '2', '2', '2', '1', '1']","['0', '2', '0', '0', '0', '1', '2', '3', '2', '2', '2', '1', '1']","['0', '2', '0', '0', '0', '1', '2', '3', '2', '2', '2', '1', '1']","['0', '2', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '2', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '2', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '2', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '2', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '2', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '2', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '2', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '2', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '2', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '1', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '1', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '1', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '1', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '1', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '1', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '1', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '1', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '1', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '1', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '1', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '1', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '1', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '1', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']","['0', '1', '0', '0', '0', '1', '1', '3', '2', '2', '2', '1', '1']"
Afghanistan,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '1', '0']","['0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '1', '1']","['0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '1', '1']","['0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '1', '1']","['0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '1', '1']","['0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '1', '1']","['0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '1', '1']","['0', '0', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['0', '0', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['0', '0', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['0', '0', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['0', '0', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['0', '0', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['0', '0', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['0', '0', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['0', '0', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['0', '0', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['0', '0', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['0', '0', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['0', '0', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['3', '0', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['3', '0', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['3', '0', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['3', '0', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['3', '0', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['3', '0', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['3', '0', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['3', '0', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['3', '0', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['3', '0', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '0', '0', '2', '1', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '0', '0', '2', '1', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '0', '0', '2', '1', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '0', '2', '2', '1', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '0', '2', '2', '1', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '0', '2', '2', '1', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '0', '2', '2', '1', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '0', '2', '2', '1', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '0', '2', '2', '1', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '0', '2', '2', '1', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '0', '2', '2', '1', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '1', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '1', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '1', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '1', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '1', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '1', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '1', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '3', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '1', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '1', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '1', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '1', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '1', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '1', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '1', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '1', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '1', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '1', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '1', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '1', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '1', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '1', '0', '0', '2', '1', '1']","['3', '3', '2', '4', '2', '2', '2', '1', '0', '0', '2', '1', '1']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
