Country,TDA_anomaly_dict_1,TDA_anomaly_dict_2,TDA_anomaly_dict_3,TDA_anomaly_dict_4,TDA_final,TDA_final_code,TDA_final_short,TDA_final_short_code
Slovenia,3.0,1.0,4.0,16.0,Medium infection,11,Medium infection,5
Somalia,1.0,1.0,1.0,5.0,"Rare infected, speed2",4,"Rare infected, slow speed",2
South Africa,3.0,1.0,2.0,16.0,Small infection in the end of March,10,Small infection in the end of March,4
South Korea,3.0,1.0,2.0,16.0,Small infection in the end of March,10,Small infection in the end of March,4
South Sudan,1.0,1.0,1.0,4.0,"Rare infected, speed2",4,"Rare infected, slow speed",2
Spain,3.0,2.0,16.0,16.0,The most infected,12,The most infected,7
Sri Lanka,1.0,1.0,1.0,4.0,"Rare infected, speed2",4,"Rare infected, slow speed",2
Sudan,1.0,1.0,1.0,4.0,"Rare infected, speed2",4,"Rare infected, slow speed",2
Suriname,1.0,1.0,1.0,3.0,"Rare infected, speed1",3,"Rare infected, slow speed",2
Sweden,3.0,1.0,14.0,16.0,Medium infection,11,Medium infection,5
Switzerland,3.0,2.0,16.0,16.0,The most infected,12,The most infected,7
Syria,1.0,1.0,1.0,2.0,Never Infected,2,Never Infected,1
Taiwan,1.0,1.0,1.0,3.0,"Rare infected, speed1",3,"Rare infected, slow speed",2
Tajikistan,3.0,1.0,2.0,16.0,Small infection in the end of March,10,Small infection in the end of March,4
Tanzania,1.0,1.0,1.0,2.0,Never Infected,2,Never Infected,1
Thailand,1.0,1.0,1.0,5.0,"Rare infected, speed2",4,"Rare infected, slow speed",2
Timor-Leste,1.0,1.0,1.0,3.0,"Rare infected, speed1",3,"Rare infected, slow speed",2
Togo,1.0,1.0,1.0,3.0,"Rare infected, speed1",3,"Rare infected, slow speed",2
Trinidad and Tobago,1.0,1.0,1.0,8.0,"Rare infected, stopped in April",5,Outliers,6
Tunisia,1.0,1.0,1.0,6.0,"Rare infected, speed3",7,"Rare infected, high speed",3
Turkey,3.0,1.0,8.0,16.0,Medium infection,11,Medium infection,5
Uganda,1.0,1.0,1.0,2.0,Never Infected,2,Never Infected,1
Ukraine,3.0,1.0,2.0,16.0,Small infection in the end of March,10,Small infection in the end of March,4
United Arab Emirates,3.0,1.0,10.0,16.0,Medium infection,11,Medium infection,5
United Kingdom,3.0,2.0,16.0,16.0,The most infected,12,The most infected,7
United States,3.0,2.0,16.0,16.0,The most infected,12,The most infected,7
Uruguay,1.0,1.0,1.0,10.0,"Rare infected, speed4",6,"Rare infected, high speed",3
Uzbekistan,1.0,1.0,1.0,5.0,"Rare infected, speed2",4,"Rare infected, slow speed",2
Venezuela,1.0,1.0,1.0,3.0,"Rare infected, speed1",3,"Rare infected, slow speed",2
Vietnam,1.0,1.0,1.0,2.0,Never Infected,2,Never Infected,1
West Bank and Gaza,1.0,1.0,1.0,6.0,"Rare infected, speed3",7,"Rare infected, high speed",3
Western Sahara,1.0,1.0,1.0,2.0,Never Infected,2,Never Infected,1
Yemen,1.0,1.0,1.0,2.0,Never Infected,2,Never Infected,1
Zambia,1.0,1.0,1.0,3.0,"Rare infected, speed1",3,"Rare infected, slow speed",2
Zimbabwe,1.0,1.0,1.0,2.0,Never Infected,2,Never Infected,1
