,Confirmed,Deaths,Recovered
mean_absolute_error,115.63798852579433,12.965086915943388,72.58429052992709
MAPE,inf,inf,inf
adj_r2,0.999385228179734,0.9984603877680366,0.9969757528381902
WAPE,2.2448925343665502,3.8204125876778647,5.049132038775707
